Lokasi;Tipe;KT;KM;Listrik;Harga
Kota Bekasi;Tipe 140;4;3;2200;1400000000
Kota Bekasi;Tipe 90;2;2;1300;750000000
Kota Bekasi;Tipe 60;3;1;1300;1800000000
Kota Bekasi;Tipe 90;4;3;2200;1450000000
Kota Bekasi;Tipe 90;3;3;2200;1600000000
Kota Bekasi;Tipe 90;2;2;1300;750000000
Kabupaten Bekasi;Tipe 45;2;1;1300;385000000
Kota Bekasi;Tipe 70;2;2;2200;850000000
Kota Bekasi;Tipe 70;2;2;900;500000000
Kota Bekasi;Tipe 140;3;3;2200;1250000000
Kota Bekasi;Tipe 90;4;2;2200;900000000
Kota Bekasi;Tipe 140;4;3;2200;1350000000
Kota Bekasi;Tipe 70;3;2;2200;750000000
Kota Bekasi;Tipe 140;2;2;2200;950000000
Kabupaten Bekasi;Tipe 54;2;2;2200;598000000
Kabupaten Bekasi;Tipe 21;2;1;1300;481000000
Kota Bekasi;Tipe 54;2;1;2200;1350000000
Kota Bekasi;Tipe 90;5;1;2200;1200000000
Kota Bekasi;Tipe 45;2;1;1300;520000000
Kota Bekasi;Tipe 120;3;3;2200;1200000000
Kota Bekasi;Tipe 140;4;3;2200;1400000000
Kabupaten Bekasi;Tipe 70;3;1;900;925000000
Kota Bekasi;Tipe 90;3;2;2200;1200000000
Kota Bekasi;Tipe 60;3;2;2200;1033000000
Kota Bekasi;Tipe 60;3;3;2200;920000000
Kabupaten Bekasi;Tipe 90;4;2;2200;965000000
Kota Bekasi;Tipe 90;4;2;2200;800000000
Kota Bekasi;Tipe 60;3;2;2200;1030000000
Kota Bekasi;Tipe 60;3;3;2200;920000000
Kabupaten Bekasi;Tipe 45;2;1;1300;270000000
Kabupaten Bekasi;Tipe 45;3;1;1300;430000000
Kota Bekasi;Tipe 45;2;1;1300;475000000
Kota Bekasi;Tipe 60;2;1;1300;575000000
Kabupaten Bekasi;Tipe 45;3;2;1300;300000000
Kabupaten Bekasi;Tipe 45;2;1;1300;450000000
Kabupaten Bekasi;Tipe 21;2;1;1300;168000000
Kabupaten Bekasi;Tipe 70;3;2;2200;586000000
Kota Bekasi;Tipe 70;3;2;2200;859946000
Kota Bekasi;Tipe 90;3;3;2200;1200000000
Kabupaten Bekasi;Tipe 60;2;2;1300;399000000
Kota Bekasi;Tipe 140;4;2;2200;1400000000
Kabupaten Bekasi;Tipe 45;2;1;900;420000000
Kota Bekasi;Tipe 120;3;3;2200;1200000000
Kota Bekasi;Tipe 60;3;2;2200;647000000
Kota Bekasi;Tipe 90;3;2;2200;1190000000
Kota Bekasi;Tipe 45;2;1;1300;1000000000
Kabupaten Bekasi;Tipe 54;2;1;1300;250000000
Kabupaten Bogor;Tipe 36;2;1;1300;692550000
Kabupaten Bogor;Tipe 36;1;1;2200;811400000
Kabupaten Bogor;Tipe 45;2;2;2200;900500000
Kabupaten Bogor;Tipe 70;3;2;2200;1001900000
Kabupaten Bogor;Tipe 60;3;2;2200;1200800000
Kabupaten Bogor;Tipe 70;3;2;2200;1538200000
Kabupaten Bogor;Tipe 120;3;2;2200;1946600000
Kabupaten Bogor;Tipe 70;3;2;2200;1230000000
Kabupaten Bogor;Tipe 21;2;1;1300;617000000
Kabupaten Bogor;Tipe 21;2;1;1300;500000000
Kabupaten Bogor;Tipe 70;4;2;2200;2500000000
Kabupaten Bogor;Tipe 70;3;2;1300;679000000
Kabupaten Bogor;Tipe 45;2;1;2200;850000000
Kota Bogor;Tipe 45;2;1;2200;1350000000
Kota Bogor;Tipe 90;5;3;2200;1000000000
Kabupaten Bogor;Tipe 140;2;1;1300;500000000
Kabupaten Bogor;Tipe 36;2;1;1300;450000000
Kota Bogor;Tipe 70;3;2;2200;800000000
Kota Bogor;Tipe 60;2;2;2200;593000000
Kabupaten Bogor;Tipe 36;2;1;2200;671000000
Kabupaten Bogor;Tipe 45;2;2;1300;467600000
Kabupaten Bogor;Tipe 36;2;1;1300;200000000
Kabupaten Bogor;Tipe 45;2;1;1300;310000000
Kabupaten Bogor;Tipe 45;2;2;2200;820000000
Kabupaten Bogor;Tipe 36;2;1;1300;599000000
Kabupaten Bogor;Tipe 70;3;3;2200;1538200000
Kabupaten Bogor;Tipe 45;3;2;2200;891500000
Kabupaten Bogor;Tipe 36;2;1;2200;811400000
Kabupaten Bogor;Tipe 60;2;1;900;420000000
Kabupaten Bogor;Tipe 60;3;2;2200;800000000
Kabupaten Bogor;Tipe 21;2;1;1300;241000000
Kabupaten Bogor;Tipe 36;2;1;1300;390000000
Kabupaten Bogor;Tipe 36;2;1;1300;379000000
Kota Bogor;Tipe 70;3;2;2200;800000000
Kota Bogor;Tipe 45;2;2;2200;600000000
Kabupaten Bogor;Tipe 36;2;1;1300;460000000
Kabupaten Bogor;Tipe 36;2;1;2200;880000000
Kabupaten Bogor;Tipe 140;3;3;2200;2100000000
Kabupaten Bogor;Tipe 45;2;1;2200;760000000
Kabupaten Bogor;Tipe 120;3;3;2200;1946600000
Kabupaten Bogor;Tipe 21;2;1;2200;574600000
Kabupaten Bogor;Tipe 70;2;2;2200;916000000
Kabupaten Bogor;Tipe 36;1;1;2200;810000000
Kabupaten Bogor;Tipe 70;2;1;2200;810000000
Kabupaten Bogor;Tipe 60;3;2;1300;750000000
Kota Bogor;Tipe 36;2;1;1300;350000000
Kabupaten Bogor;Tipe 36;2;1;2200;670000000
Kabupaten Bogor;Tipe 21;1;1;1300;130000000
Kabupaten Bogor;Tipe 90;3;2;1300;1250000000
Kabupaten Bogor;Tipe 140;4;3;2200;1450000000
Kabupaten Bogor;Tipe 140;4;3;2200;1500000000
Kabupaten Bogor;Tipe 140;5;3;2200;1250000000
Kabupaten Bogor;Tipe 36;2;1;1300;670000000
Kabupaten Bogor;Tipe 36;2;1;1300;399000000
Kabupaten Bogor;Tipe 36;2;1;1300;456000000
Kabupaten Bogor;Tipe 36;2;1;1300;397223000
Kabupaten Bogor;Tipe 54;3;2;2200;551834000
Kabupaten Bogor;Tipe 36;2;1;1300;485000000
Kabupaten Bogor;Tipe 45;2;2;1300;600000000
Kabupaten Bogor;Tipe 36;2;1;1300;600000000
Kabupaten Bogor;Tipe 36;2;1;1300;715000000
Kabupaten Bogor;Tipe 21;2;1;1300;378990000
Kabupaten Bogor;Tipe 36;2;1;1300;456000000
Kabupaten Bogor;Tipe 36;2;1;1300;368000000
Kabupaten Bogor;Tipe 36;2;1;1300;500000000
Kabupaten Bogor;Tipe 36;2;1;1300;599000000
Kota Bogor;Tipe 45;2;1;1300;925045000
Kota Bogor;Tipe 70;3;1;1300;1621400000
Kabupaten Bogor;Tipe 36;2;1;1300;488500000
Kabupaten Bogor;Tipe 60;3;2;1300;795000000
Kabupaten Bogor;Tipe 36;2;1;1300;221000000
Kabupaten Bogor;Tipe 36;2;1;1300;239999999
Kota Bogor;Tipe 45;2;1;1300;205000000
Kabupaten Bogor;Tipe 140;4;2;2200;1400000000
Kabupaten Bogor;Tipe 70;4;3;1300;650000000
Kabupaten Bogor;Tipe 36;2;1;2200;633150000
Kabupaten Bogor;Tipe 60;3;2;2200;550000000
Kabupaten Bogor;Tipe 36;2;1;1300;377684362
Kota Bogor;Tipe 140;5;4;2200;1850000000
Kabupaten Bogor;Tipe 70;3;1;1300;418000000
Kabupaten Bogor;Tipe 60;2;1;1300;325000000
Kabupaten Bogor;Tipe 70;2;1;1300;215000000
Kabupaten Bogor;Tipe 70;2;1;1300;215000000
Kabupaten Bogor;Tipe 60;2;2;1300;295000000
Kabupaten Bogor;Tipe 60;2;1;1300;295000000
Kabupaten Bogor;Tipe 54;3;2;1300;909000000
Kabupaten Bogor;Tipe 36;2;1;1300;400000000
Kabupaten Bogor;Tipe 54;2;1;1300;295000000
Kabupaten Bogor;Tipe 120;3;1;1300;1700000000
Kabupaten Bogor;Tipe 45;2;1;1300;420000000
Kabupaten Bogor;Tipe 54;2;1;1300;295000000
Kabupaten Bogor;Tipe 36;2;1;1300;222750000
Kabupaten Bogor;Tipe 21;2;1;1300;270000000
Kota Bogor;Tipe 36;2;1;2200;670000000
Kabupaten Bogor;Tipe 70;2;1;2200;650000000
Kabupaten Bogor;Tipe 60;3;2;2200;598000000
Kota Bogor;Tipe 70;2;1;1300;550000000
Kabupaten Bogor;Tipe 36;2;1;1300;525096000
Kota Bogor;Tipe 21;2;1;1300;168000000
Kabupaten Bogor;Tipe 36;2;1;1300;189000000
Kabupaten Bogor;Tipe 21;1;1;1300;168000000
Kota Bogor;Tipe 36;2;1;1300;65000000
Kabupaten Bogor;Tipe 36;2;1;1300;70000000
Kota Bogor;Tipe 21;1;1;1300;200000000
Kota Bogor;Tipe 60;3;2;2200;739600000
Kabupaten Bogor;Tipe 90;4;2;1300;770000000
Kabupaten Bogor;Tipe 45;3;1;900;425000000
Kabupaten Bogor;Tipe 45;2;1;1300;450000000
Kabupaten Bogor;Tipe 36;2;1;1300;420000000
Kabupaten Bogor;Tipe 21;2;1;1300;400000000
Kabupaten Bogor;Tipe 36;2;1;1300;300000000
Kabupaten Bogor;Tipe 70;3;2;2200;1300000000
Kota Bogor;Tipe 21;2;1;1300;270000000
Kabupaten Bogor;Tipe 36;2;1;1300;498000000
Kota Bogor;Tipe 21;2;1;1300;299000000
Kabupaten Bogor;Tipe 36;2;1;1300;65000000
Kabupaten Bogor;Tipe 36;2;1;1300;487800000
Kabupaten Bogor;Tipe 60;2;1;1300;825000000
Kabupaten Bogor;Tipe 54;2;1;2200;475000000
Kota Bogor;Tipe 60;3;2;2200;925100000
Kota Bogor;Tipe 36;2;1;2200;765050000
Kabupaten Bogor;Tipe 36;2;1;1300;369000000
Kabupaten Bogor;Tipe 60;2;1;1300;260000000
Kota Bogor;Tipe 70;3;2;2200;1403050000
Kota Bogor;Tipe 70;2;1;2200;1318000000
Kota Bogor;Tipe 90;2;2;2200;1750000000
Kabupaten Bogor;Tipe 36;2;1;1300;65000000
Kota Bogor;Tipe 70;2;1;1300;950000000
Kabupaten Bogor;Tipe 36;2;1;1300;201600000
Kota Bogor;Tipe 45;2;1;2200;632000000
Kabupaten Bogor;Tipe 21;2;1;1300;168000000
Kota Bogor;Tipe 60;3;2;2200;623000000
Kabupaten Bogor;Tipe 36;2;1;2200;663000000
Kota Bogor;Tipe 140;3;2;1300;1400000000
Kabupaten Bogor;Tipe 90;2;2;2200;1150000000
Kabupaten Bogor;Tipe 54;2;1;1300;915000000
Kabupaten Bogor;Tipe 36;2;1;1300;377900000
Kabupaten Bogor;Tipe 90;3;2;2200;845811000
Kabupaten Bogor;Tipe 90;3;2;2200;860211000
Kabupaten Bogor;Tipe 36;2;1;1300;363200000
Kabupaten Bogor;Tipe 21;2;1;1300;316800000
Kabupaten Bogor;Tipe 36;2;1;1300;395000000
Kabupaten Bogor;Tipe 60;2;2;2200;678700000
Kota Bogor;Tipe 90;4;2;2200;1600000000
Kabupaten Bogor;Tipe 70;3;2;2200;950000000
Kabupaten Bogor;Tipe 70;3;2;1300;795000000
Kabupaten Bogor;Tipe 90;3;3;1300;1800000000
Kabupaten Bogor;Tipe 21;2;1;1300;318000000
Kota Bogor;Tipe 120;3;2;2200;1100000000
Kota Bogor;Tipe 140;5;2;1300;1399000000
Kabupaten Bogor;Tipe 60;2;1;1300;390000000
Kabupaten Bogor;Tipe 45;2;1;1300;385000000
Kota Bogor;Tipe 140;3;2;1300;1500000000
Kabupaten Bogor;Tipe 45;2;1;1300;375000000
Kabupaten Bogor;Tipe 70;3;2;2200;1500000000
Kabupaten Bogor;Tipe 36;2;1;1300;390200000
Kabupaten Bogor;Tipe 70;3;2;2200;1300000000
Kabupaten Bogor;Tipe 36;2;1;1300;400000000
Kabupaten Bogor;Tipe 36;2;1;1300;419530000
Kabupaten Bogor;Tipe 36;2;1;1300;440550000
Kabupaten Bogor;Tipe 21;2;1;1300;408650000
Kota Bogor;Tipe 140;4;2;2200;1200000000
Kabupaten Bogor;Tipe 36;2;1;1300;440550000
Kabupaten Bogor;Tipe 90;3;2;2200;900000000
Jakarta Pusat;Tipe 54;2;1;2200;1100000000
Jakarta Pusat;Tipe 21;2;1;2200;395000000
Jakarta Pusat;Tipe 36;2;2;2200;835000000
Jakarta Pusat;Tipe 54;2;2;2200;1100000000
Jakarta Pusat;Tipe 90;3;3;2200;1700000000
Jakarta Pusat;Tipe 36;2;1;2200;835000000
Jakarta Pusat;Tipe 70;3;2;2200;1880000000
Jakarta Pusat;Tipe 70;3;2;2200;1390000000
Jakarta Pusat;Tipe 45;2;1;2200;450000000
Jakarta Pusat;Tipe 60;1;1;2200;1050000000
Jakarta Pusat;Tipe 36;2;2;2200;735000000
Jakarta Pusat;Tipe 90;3;2;2200;1200000000
Jakarta Pusat;Tipe 36;2;1;1300;533000000
Jakarta Pusat;Tipe 21;1;1;2200;380000000
Jakarta Pusat;Tipe 21;2;1;2200;425000000
Jakarta Selatan;Tipe 140;4;3;2200;3800000000
Jakarta Selatan;Tipe 120;3;3;2200;3100000000
Jakarta Selatan;Tipe 45;3;2;2200;600000000
Jakarta Barat;Tipe 90;3;3;2200;1300000000
Jakarta Barat;Tipe 70;3;3;2200;2288809000
Jakarta Barat;Tipe 70;3;2;2200;850000000
Jakarta Barat;Tipe 70;1;2;2200;1000000000
Jakarta Barat;Tipe 90;5;2;2200;1700000000
Jakarta Barat;Tipe 21;2;1;1300;497322000
Jakarta Utara ;Tipe 120;4;4;2200;35000000000
Jakarta Utara ;Tipe 140;4;4;2200;1500000000
Jakarta Utara ;Tipe 36;1;2;2200;718421053
Jakarta Utara ;Tipe 36;1;2;1300;498000000
Jakarta Utara ;Tipe 21;1;1;1300;440000000
Jakarta Utara ;Tipe 140;3;2;2200;3100000000
Jakarta Utara ;Tipe 140;3;1;1300;2300000000
Jakarta Timur;Tipe 60;3;2;1300;420000000
Jakarta Timur;Tipe 140;4;2;2200;3500000000
Jakarta Timur;Tipe 70;4;3;2200;1650000000
Jakarta Timur;Tipe 60;3;2;2200;890000000
Jakarta Timur;Tipe 90;3;2;2200;1310000000
Jakarta Timur;Tipe 90;3;2;2200;2230000000
Jakarta Timur;Tipe 140;5;4;2200;2400000000
Jakarta Timur;Tipe 45;2;1;1300;690000000
Jakarta Timur;Tipe 60;3;3;2200;1600000000
Jakarta Timur;Tipe 120;3;2;2200;1150000000
Jakarta Timur;Tipe 140;5;5;2200;2465000000
Jakarta Timur;Tipe 90;3;2;2200;1398000000
Jakarta Timur;Tipe 54;3;2;2200;880000000
Jakarta Timur;Tipe 140;5;5;2200;3400000000
Tangerang;Tipe 45;3;2;1300;500000000
Tangerang;Tipe 54;2;1;1300;480000000
Tangerang;Tipe 45;3;2;2200;600000000
Tangerang;Tipe 120;3;3;2200;1700000000
Tangerang;Tipe 36;2;1;1300;830000000
Tangerang;Tipe 70;2;1;2200;450000000
Tangerang;Tipe 45;2;1;1300;148000000
Tangerang;Tipe 120;2;2;1300;760000000
Tangerang;Tipe 45;3;2;2200;600000000
Tangerang;Tipe 120;3;2;2200;1500000000
Tangerang;Tipe 120;2;2;2200;980000000
Tangerang;Tipe 36;2;1;1300;500000000
Tangerang;Tipe 90;4;2;2200;2200000000
Tangerang;Tipe 70;2;1;2200;600000000
Tangerang;Tipe 90;3;3;2200;1950000000
Tangerang;Tipe 70;3;2;2200;600000000
Tangerang;Tipe 140;3;3;2200;1200000000
Tangerang;Tipe 90;3;2;2200;1250000000
Tangerang;Tipe 140;3;2;2200;1550000000
Tangerang;Tipe 90;3;2;2200;1700000000
Tangerang;Tipe 90;3;2;2200;1800000000
Tangerang;Tipe 140;3;3;2200;2400000000
Tangerang;Tipe 120;3;2;2200;1490000000
Tangerang;Tipe 120;3;2;2200;1600000000
Tangerang;Tipe 70;3;2;2200;1250000000
Tangerang;Tipe 90;3;2;2200;2050000000
Tangerang;Tipe 45;2;1;2200;95000000
Tangerang;Tipe 120;4;3;2200;2200000000
Tangerang;Tipe 120;4;3;2200;5500000000
Tangerang;Tipe 45;3;2;2200;2300000000
Tangerang;Tipe 90;2;1;2200;600000000
Tangerang;Tipe 120;3;2;2200;5900000000
Tangerang;Tipe 90;2;2;1300;1950000000
Tangerang;Tipe 90;3;3;2200;2410000000
Tangerang;Tipe 90;3;3;2200;1600000000
Tangerang;Tipe 90;3;1;1300;950000000
Tangerang;Tipe 70;3;2;2200;2440000000
Tangerang;Tipe 70;2;1;2200;600000000
Tangerang;Tipe 70;3;2;1300;575000000
Tangerang;Tipe 60;2;2;2200;2900000000
Tangerang;Tipe 90;3;3;2200;972000000
Tangerang;Tipe 140;4;2;2200;2700000000
Tangerang;Tipe 70;2;2;2200;750000000
Tangerang;Tipe 36;2;1;2200;1590000000
Tangerang;Tipe 45;2;2;2200;780000000
Tangerang;Tipe 21;2;1;2200;700000000
Tangerang;Tipe 90;3;3;1300;250000000
Tangerang;Tipe 140;5;3;2200;1950000000
Tangerang;Tipe 70;2;1;2200;2800000000
Tangerang;Tipe 21;2;1;2200;1950000000
Tangerang;Tipe 70;3;3;2200;396000000
Tangerang;Tipe 140;3;2;2200;3000000000
Tangerang;Tipe 140;3;3;2200;6500000000
Tangerang;Tipe 90;3;3;2200;7700000000
Tangerang;Tipe 140;3;2;2200;2300000000
Tangerang;Tipe 120;4;2;2200;2000000000
Tangerang;Tipe 90;3;2;2200;5500000000
Tangerang;Tipe 90;3;2;2200;2400000000
Tangerang;Tipe 90;3;2;2200;1800000000
Tangerang;Tipe 36;2;1;2200;2300000000
Tangerang;Tipe 70;3;2;1300;221000000
Tangerang;Tipe 140;4;3;2200;2800000000
Tangerang;Tipe 54;2;2;2200;1900000000
Tangerang;Tipe 70;3;2;2200;711000000
Tangerang;Tipe 70;4;3;1300;850000000
Tangerang;Tipe 120;3;3;2200;1860000000
Tangerang;Tipe 90;3;2;2200;1800000000
Depok;Tipe 140;4;2;2200;2100000000
Depok;Tipe 45;2;1;1300;250000000
Depok;Tipe 36;2;1;1300;250000000
Depok;Tipe 45;2;1;1300;250000000
Depok;Tipe 45;2;1;1300;350000000
Depok;Tipe 21;2;1;1300;130000000
Depok;Tipe 45;2;1;1300;250000000
Depok;Tipe 90;2;1;1300;405000000
Depok;Tipe 60;2;1;1300;215000000
Depok;Tipe 70;3;2;2200;865000000
Depok;Tipe 45;2;1;1300;470000000
Depok;Tipe 45;2;1;1300;480000000
Depok;Tipe 45;2;1;1300;530000000
Depok;Tipe 140;3;2;2200;2000000000
Depok;Tipe 36;2;1;1300;390000000
Depok;Tipe 36;2;1;1300;499000000
Depok;Tipe 60;3;2;1300;964000000
Depok;Tipe 70;2;2;2200;1200000000
Depok;Tipe 54;2;1;1300;450000000
Depok;Tipe 120;4;5;2200;1700000000
Depok;Tipe 45;2;1;2200;1100000000
Depok;Tipe 90;4;2;2200;1280000000
Depok;Tipe 120;4;4;2200;1700000000
Depok;Tipe 140;3;3;2200;3500000000
Depok;Tipe 70;2;1;2200;928000000
Depok;Tipe 45;2;1;1300;590000000
Depok;Tipe 45;2;1;1300;465000000
Depok;Tipe 90;3;2;2200;1650000000
Depok;Tipe 140;3;3;2200;1190000000
Depok;Tipe 70;3;2;2200;966000000
Depok;Tipe 60;3;2;2200;548000000
Depok;Tipe 70;3;2;2200;905000000
Depok;Tipe 70;3;2;2200;1020000000
Depok;Tipe 70;3;2;2200;1030000000
Depok;Tipe 70;2;1;1300;1150000000
Depok;Tipe 45;2;2;2200;795000000
Depok;Tipe 45;2;1;2200;490000000
Depok;Tipe 60;3;2;2200;877000000
Depok;Tipe 90;3;1;2200;1100000000
Depok;Tipe 120;4;3;2200;1420000000
Depok;Tipe 60;3;2;2200;1040000000
Depok;Tipe 70;3;2;2200;877000000
Depok;Tipe 54;3;2;2200;700000000
Depok;Tipe 70;3;2;2200;842000000
Depok;Tipe 70;3;1;1300;875000000
Depok;Tipe 54;3;2;2200;789000000
Depok;Tipe 60;3;2;2200;832000000
Depok;Tipe 36;2;1;1300;41000000
Depok;Tipe 45;2;2;2200;485000000
Depok;Tipe 36;2;1;1300;280000000
Depok;Tipe 70;2;1;1300;350000000
Depok;Tipe 70;3;2;2200;876000000
Depok;Tipe 60;2;2;2200;720000000
Depok;Tipe 45;2;2;2200;498000000
Depok;Tipe 36;2;1;1300;250000000
Depok;Tipe 45;2;1;1300;550000000
Depok;Tipe 60;3;2;2200;565000000
Depok;Tipe 70;3;2;2200;877000000
Depok;Tipe 45;2;1;1300;350000000
Depok;Tipe 45;2;2;2200;826000000
Depok;Tipe 70;3;2;2200;920000000
Depok;Tipe 60;3;2;2200;1040000000
Depok;Tipe 45;2;2;2200;896000000
Depok;Tipe 45;2;2;2200;742000000
Depok;Tipe 60;3;2;2200;933000000
Depok;Tipe 70;3;2;2200;960000000
Depok;Tipe 70;3;2;2200;1070000000
Depok;Tipe 45;2;2;2200;485000000
Depok;Tipe 70;3;2;2200;810000000
Depok;Tipe 45;3;2;2200;795000000
Depok;Tipe 45;2;2;2200;580000000
Depok;Tipe 45;2;2;2200;465000000
Depok;Tipe 45;2;2;2200;498000000
Depok;Tipe 36;2;1;1300;810000000
Depok;Tipe 90;3;3;2200;1970000000
Depok;Tipe 60;3;2;2200;565000000
Depok;Tipe 54;3;2;2200;665000000
Depok;Tipe 45;2;2;2200;498000000
Depok;Tipe 36;2;1;1300;235000000
Depok;Tipe 45;2;1;1300;335000000
Depok;Tipe 36;2;1;1300;235000000
Depok;Tipe 140;3;3;2200;610000000
Depok;Tipe 60;3;2;2200;736000000
Depok;Tipe 90;3;2;2200;1000000000
Depok;Tipe 45;2;1;1300;650000000
Depok;Tipe 54;3;2;2200;845000000
Depok;Tipe 54;3;2;2200;1050000000
Depok;Tipe 90;3;2;2200;1280000000
Depok;Tipe 45;2;2;2200;555000000
Depok;Tipe 70;2;2;900;320000000
Depok;Tipe 36;2;1;1300;195000000
Depok;Tipe 45;2;1;1300;185000000
